Model,R2,MAE,RMSE,MAPE,R2_std
DummyRegressor (Median),-0.0696524128482074,283081.2229162282,2490456.702809601,2945.9443405901284,0.03700908908211408
Ridge,0.531395334528079,172501.83309376385,2340148.9221416498,1959.2212013458,0.27227306630595677
Lasso,0.5316823169484707,172352.58624282523,2340055.670671169,1960.8193806668319,0.27242440247882804
RandomForest,-6.381510352458758,132484.96855145274,3143425.9301243015,1874.7404361247397,5.005245491441018
GradientBoosting,-66.39893562389966,131537.5528801681,3845557.0555887567,1786.0901453865274,134.0199935163763
XGBoost,-57.144808311136636,134826.55516109132,4330327.696893625,1732.081919177271,81.94063771889712
LightGBM,-9.92199826577578,142193.6420042906,3342570.1594297113,1710.8468425896385,9.371331843867864
CatBoost,-18.066847650767198,140328.8109977818,3106314.181045414,1980.806493674862,37.24735654005404
LightGBM (Tuned),0.06285484637100532,175948.89422281418,2458394.9957099813,2719.8819052332506,0.15580722191919058
